timestamp,TimeUS,Th0,UR,UP,UY
1746304127.89499998,60048647,0.3348691165447235,-0.10316677391529083,-0.015699943527579308,-0.0011083398712798953
1746304127.89800000,60051647,0.33487287163734436,-0.07759194076061249,-0.01696706935763359,-0.0017322114435955882
1746304127.90000010,60053647,0.33491063117980957,-0.05398028343915939,-0.01798955351114273,-0.002206231001764536
1746304127.90300012,60056647,0.33499374985694885,-0.014607898890972137,-0.01854308880865574,-0.0029165451414883137
1746304127.90499997,60058647,0.3350600302219391,0.014311595819890499,-0.018977977335453033,-0.00333093898370862
1746304127.90799999,60061647,0.33515438437461853,0.05381489545106888,-0.018654193729162216,-0.00372858764603734
1746304127.91000009,60063647,0.33519840240478516,0.07728327810764313,-0.018514683470129967,-0.0038696269039064646
1746304127.91300011,60066647,0.33524051308631897,0.10235631465911865,-0.017480893060564995,-0.003790114773437381
1746304127.91499996,60068647,0.3352483808994293,0.1122845858335495,-0.017008274793624878,-0.003607605118304491
1746304127.91799998,60071647,0.3352479934692383,0.11496856063604355,-0.015693040564656258,-0.0030697209294885397
1746304127.92000008,60073647,0.3352496325969696,0.10839500278234482,-0.015198964625597,-0.002611277624964714
1746304127.92300010,60076647,0.33526313304901123,0.08835926651954651,-0.01406947709619999,-0.0017617123667150736
1746304127.92499995,60078647,0.3352901339530945,0.06778985261917114,-0.013782177120447159,-0.0011501680128276348
1746304127.92799997,60081647,0.3353448510169983,0.03151632472872734,-0.013041241094470024,-0.00020621450676117092
1746304127.93000007,60083647,0.3353826403617859,0.003101099282503128,-0.013075911439955235,0.000404543912736699
1746304127.93300009,60086647,0.33542582392692566,-0.03801460936665535,-0.012738045305013657,0.0012204938102513552
1746304127.93499994,60088647,0.33542558550834656,-0.06430727243423462,-0.013079521246254444,0.0016994319157674909
1746304127.93799996,60091647,0.3353923559188843,-0.0954754501581192,-0.01310095377266407,0.0022395304404199123
1746304127.94000006,60093647,0.3353396952152252,-0.11040361225605011,-0.013546072877943516,0.0025099937338382006
